seed,abs_gap,ratio_gap,fail,max_section,min_section
1,16538.082132930514,5.039684479772314,False,사회,IT&과학
2,16932.131317226653,5.129657288906697,False,사회,IT&과학
3,16634.94338763848,5.109062438902645,False,사회,IT&과학
4,16919.577169972454,5.126232133748019,False,사회,IT&과학
5,16842.27184093685,5.120162625152022,False,사회,IT&과학
6,16694.076741118435,5.116683730837267,False,사회,IT&과학
7,16561.75386213754,5.027326896672243,False,사회,IT&과학
8,16659.58616798896,5.099010344567779,False,사회,IT&과학
9,16705.3754793212,5.098737221404353,False,사회,IT&과학
10,16753.10863242119,5.205049686304311,False,사회,IT&과학
11,16578.782598259746,4.972307634285051,False,사회,IT&과학
12,16789.31884358882,5.083455150055951,False,사회,IT&과학
13,16816.42287505819,5.084568317040915,False,사회,IT&과학
14,16864.142410088836,5.121992024022331,False,사회,IT&과학
15,16809.814393956316,5.187403861882702,False,사회,IT&과학
16,16617.787185999616,5.156870614593982,False,사회,IT&과학
17,17099.58042110101,5.200881531018402,False,사회,IT&과학
18,16656.300309775597,5.113703033433838,False,사회,IT&과학
19,16597.888762095034,5.043950741633688,False,사회,IT&과학
20,16619.67245446808,5.156338185500984,False,사회,IT&과학
21,16591.366979406506,5.0483558450518276,False,사회,IT&과학
22,16639.80182596593,5.036557901257351,False,사회,IT&과학
23,16811.523767759187,5.109618971807836,False,사회,IT&과학
24,16866.339285128888,5.156593070434041,False,사회,IT&과학
25,16541.49856898934,4.956836188843742,False,사회,IT&과학
26,16780.457935969538,5.056183703854474,False,사회,IT&과학
27,16781.201940818493,5.151962515301523,False,사회,IT&과학
28,17112.19137107382,5.2122285991950665,False,사회,IT&과학
29,16455.81320388072,4.930363820766238,False,사회,IT&과학
30,16437.02947464689,4.967957521162802,False,사회,IT&과학
31,16814.05137014143,5.124632304123371,False,사회,IT&과학
32,16462.274636957496,5.0132554539106495,False,사회,IT&과학
33,16921.15935349384,5.073441000336845,False,사회,IT&과학
34,16648.76147446036,5.11691060559237,False,사회,IT&과학
35,16784.43142162032,5.177721935846089,False,사회,IT&과학
36,16791.69186818707,5.138940706493648,False,사회,IT&과학
37,16841.341103626044,5.081234839502629,False,사회,IT&과학
38,16800.214416768682,5.122905890582802,False,사회,IT&과학
39,16474.018406420364,5.097000871355028,False,사회,IT&과학
40,16584.936074223682,5.0203039847086375,False,사회,IT&과학
41,16553.899237130263,5.045649687817986,False,사회,IT&과학
42,16553.97928377293,5.00809036607158,False,사회,IT&과학
43,16593.596700259193,5.027272931349554,False,사회,IT&과학
44,16955.65976396364,5.234068038391963,False,사회,IT&과학
45,16625.870014947835,5.003264099468864,False,사회,IT&과학
46,16726.64092835909,5.133353453485603,False,사회,IT&과학
47,16695.76530850952,5.053357256779623,False,사회,IT&과학
48,16495.52592644999,5.03593240400457,False,사회,IT&과학
49,16552.826200616983,5.067389174493393,False,사회,IT&과학
50,16969.72413556971,5.239858568859541,False,사회,IT&과학
