record_id,has_title,has_body,has_published_at,has_source,is_complete
737476,1,1,1,1,1
737508,1,1,1,1,1
737509,1,1,1,1,1
737534,1,1,1,1,1
737560,1,1,1,1,1
736430,1,1,1,1,1
736921,1,1,1,1,1
736659,1,1,1,1,1
736904,1,1,1,1,1
737019,1,1,1,1,1
737300,1,1,1,1,1
735984,1,1,1,1,1
737119,1,1,1,1,1
737120,1,1,1,1,1
737331,1,1,1,1,1
736087,1,1,1,1,1
736955,1,1,1,1,1
737008,1,1,1,1,1
737009,1,1,1,1,1
736170,1,1,1,1,1
736606,1,1,1,1,1
737115,1,1,1,1,1
737116,1,1,1,1,1
737122,1,1,1,1,1
737123,1,1,1,1,1
737211,1,1,1,1,1
737456,1,1,1,1,1
737457,1,1,1,1,1
736943,1,1,1,1,1
737182,1,1,1,1,1
736431,1,1,1,1,1
736270,1,1,1,1,1
736271,1,1,1,1,1
736385,1,1,1,1,1
736426,1,1,1,1,1
736433,1,1,1,1,1
736618,1,1,1,1,1
736679,1,1,1,1,1
736901,1,1,1,1,1
736993,1,1,1,1,1
737007,1,1,1,1,1
737460,1,1,1,1,1
737464,1,1,1,1,1
736963,1,1,1,1,1
736919,1,1,1,1,1
736931,1,1,1,1,1
735999,1,1,1,1,1
736311,1,1,1,1,1
736322,1,1,1,1,1
736584,1,1,1,1,1
736303,1,1,1,1,1
736069,1,1,1,1,1
736220,1,1,1,1,1
736655,1,1,1,1,1
735950,1,1,1,1,1
736345,1,1,1,1,1
736711,1,1,1,1,1
736720,1,1,1,1,1
736721,1,1,1,1,1
736137,1,1,1,1,1
736244,1,1,1,1,1
736245,1,1,1,1,1
735938,1,1,1,1,1
736348,1,1,1,1,1
737020,1,1,1,1,1
737107,1,1,1,1,1
736004,1,1,1,1,1
736046,1,1,1,1,1
736065,1,1,1,1,1
736066,1,1,1,1,1
736067,1,1,1,1,1
736068,1,1,1,1,1
736276,1,1,1,1,1
736680,1,1,1,1,1
736750,1,1,1,1,1
736995,1,1,1,1,1
736560,1,1,1,1,1
736607,1,1,1,1,1
736608,1,1,1,1,1
735977,1,1,1,1,1
735991,1,1,1,1,1
736093,1,1,1,1,1
736243,1,1,1,1,1
736384,1,1,1,1,1
736613,1,1,1,1,1
736928,1,1,1,1,1
736974,1,1,1,1,1
736979,1,1,1,1,1
736660,1,1,1,1,1
736861,1,1,1,1,1
736862,1,1,1,1,1
737004,1,1,1,1,1
736925,1,1,1,1,1
736926,1,1,1,1,1
736982,1,1,1,1,1
736996,1,1,1,1,1
737376,1,1,1,1,1
737379,1,1,1,1,1
736174,1,1,1,1,1
2027,1,1,1,1,1
