family,level,ppl_ratio,tpc_ratio,ms_delta,gain_tok,score
F1,L1,1.053035343628854,1.0032012996591004,0.0008166850234890749,2.4242,0.45910759048461913
F1,L3,1.3209502400759765,1.0402098229257941,0.009635228650792454,24.3606,0.4569728309631348
F2,L1,1.1054831448654021,1.0109266772786492,-0.00016288847006901545,0.0,0.4582874168395996
F2,L3,1.4454935702892442,1.1197475972352235,-0.00016288847006901545,0.0,0.4512997985839844
F3,L1,1.0069110079866888,0.9991916631532467,-0.00012840271453168928,0.0,0.45934306106567385
F3,L3,1.0180733153514967,1.0002081213472496,0.00015779207199196393,0.0,0.4593660446166992
F4,L1,1.0482180056737553,1.0017607598884657,0.0006099472116332142,1.662,0.45916072692871096
F4,L3,1.3593412532803277,1.0255714698188592,0.007429244213144384,16.3272,0.45842946853637695
F5_RAW,N/A,0.9447640967102281,1.0011617334816187,1.6210578154127287e-05,0.0,0.017027313995361327
